Disease,Description,Preventive_Measures
Influenza,"Influenza, commonly known as the flu, is a contagious respiratory illness caused by influenza viruses. It can cause mild to severe illness, with symptoms including fever, cough, sore throat, body aches, and fatigue.","Get an annual flu vaccine, wash hands frequently, avoid close contact with sick individuals, and maintain a healthy immune system with proper diet and sleep."
Asthma,"Asthma is a chronic respiratory condition characterized by inflammation and narrowing of the airways, leading to difficulty breathing, wheezing, and coughing, often triggered by allergens or exercise.","Avoid known triggers (e.g., pollen, dust), use prescribed inhalers, maintain good indoor air quality, and exercise regularly with medical guidance."
Pneumonia,"Pneumonia is an infection that inflames the air sacs in one or both lungs, causing cough, fever, and difficulty breathing. It can be caused by bacteria, viruses, or fungi.","Get vaccinated (pneumococcal vaccine), practice good hygiene, avoid smoking, and strengthen immunity with a balanced diet."
Common Cold,"The common cold is a viral infection of the upper respiratory tract, typically causing symptoms like runny nose, sore throat, cough, and mild fatigue.","Wash hands regularly, avoid touching face, stay away from sick people, and boost immunity with vitamin C and adequate rest."
Eczema,"Eczema is a chronic skin condition causing itchy, inflamed, and red patches on the skin, often triggered by allergens or stress.","Moisturize skin daily, avoid irritants (e.g., harsh soaps), manage stress, and use hypoallergenic products."
Migraine,"Migraine is a neurological condition characterized by intense, debilitating headaches, often accompanied by nausea, vomiting, and sensitivity to light or sound.","Identify and avoid triggers (e.g., stress, certain foods), maintain a regular sleep schedule, stay hydrated, and consider preventive medications."
Diabetes,"Diabetes is a chronic condition where the body cannot properly regulate blood sugar levels, leading to symptoms like increased thirst, frequent urination, and fatigue.","Maintain a healthy diet, exercise regularly, monitor blood sugar levels, and follow medical advice for insulin or medications."
Hypertension,"Hypertension, or high blood pressure, is a condition where the force of blood against artery walls is too high, increasing the risk of heart disease and stroke.","Reduce salt intake, exercise regularly, manage stress, and avoid smoking or excessive alcohol consumption."
Alzheimer's Disease,"Alzheimer's Disease is a progressive neurodegenerative disorder causing memory loss, cognitive decline, and behavioral changes.","Engage in mental exercises, maintain a healthy diet, stay physically active, and manage cardiovascular health."
Hyperthyroidism,"A condition where the thyroid gland produces too many hormones, causing weight loss, rapid heartbeat, and nervousness.","Get regular thyroid check-ups, avoid excessive iodine intake, and follow doctor�??s advice."
Allergic Rhinitis,"An allergic reaction in the nose that causes sneezing, runny nose, and itchy eyes, often triggered by dust or pollen.","Avoid allergens like dust and pollen, keep windows closed during high pollen seasons, and maintain good indoor air quality."
Anxiety Disorders,A group of conditions where excessive fear or worry interferes with daily life and wellbeing.,"Practice stress management, maintain healthy sleep habits, and seek counseling when needed."
Gastroenteritis,"An infection of the stomach and intestines that causes diarrhea, vomiting, abdominal cramps, and fever.","Wash hands regularly, drink safe water, eat hygienic food, and avoid street food during outbreaks."
Pancreatitis,"Inflammation of the pancreas leading to severe abdominal pain, nausea, and vomiting.","Avoid excessive alcohol, eat a low-fat diet, and get timely medical check-ups if at risk."
Rheumatoid Arthritis,"An autoimmune condition where the immune system attacks joints, causing swelling, stiffness, and pain.","Exercise regularly, maintain a healthy weight, avoid smoking, and follow treatment plans."
Depression,"A mental health disorder marked by persistent sadness, loss of interest, and low energy affecting daily life.","Stay socially connected, practice self-care, maintain a routine, and seek professional help early."
Liver Cancer,"A serious condition where abnormal cells grow in the liver, often linked to hepatitis or alcohol use.","Get vaccinated against hepatitis, limit alcohol intake, and maintain a healthy weight."
Stroke,"A medical emergency where blood flow to the brain is blocked or a vessel bursts, causing sudden weakness or speech issues.","Control blood pressure, avoid smoking, exercise regularly, and eat a balanced diet."
Urinary Tract Infection,"A common infection of the urinary system causing burning urination, frequent urges, and discomfort.","Drink plenty of water, practice good hygiene, and avoid holding urine for long periods."
Dengue Fever,"A mosquito-borne viral infection causing high fever, body pain, headache, and sometimes rash or bleeding.","Prevent mosquito bites by using nets, repellents, and removing stagnant water."
Hepatitis,"Inflammation of the liver, often caused by viruses, leading to fatigue, nausea, and yellowing of the skin and eyes.","Get vaccinated, avoid sharing needles, practice safe sex, and maintain hygiene."
Kidney Cancer,"A type of cancer starting in the kidneys, sometimes showing blood in urine, side pain, or weight loss.","Maintain a healthy lifestyle, avoid smoking, control blood pressure, and get regular screenings if at risk."
Muscular Dystrophy,A group of inherited conditions that cause progressive muscle weakness and loss of function.,"Genetic counseling for families, physiotherapy, and regular medical monitoring."
Sinusitis,"Inflammation of the sinuses causing headache, blocked nose, and facial pressure.","Avoid allergens, stay hydrated, use humidifiers, and practice good nasal hygiene."
Ulcerative Colitis,"A chronic bowel disease causing inflammation and ulcers in the colon, leading to abdominal pain and bloody diarrhea.","Follow a balanced diet, avoid trigger foods, manage stress, and attend regular check-ups."
Bipolar Disorder,A mental health condition with extreme mood swings from high energy (mania) to deep sadness (depression).,"Maintain regular sleep, avoid alcohol and drugs, and follow therapy and medical care plans."
Bronchitis,"Inflammation of the airways leading to persistent cough, mucus, and chest discomfort.","Avoid smoking, reduce exposure to dust and pollutants, and strengthen immunity with a healthy lifestyle."
Cerebral Palsy,A group of conditions affecting movement and posture due to early brain development problems.,"Seek early intervention, use physiotherapy, and provide supportive care for mobility and independence."
Colorectal Cancer,"Cancer of the colon or rectum, often presenting with blood in stool, abdominal pain, or changes in bowel habits.","Eat a fiber-rich diet, avoid smoking, limit red meat, and get regular screenings after age 50."
Hypertensive Heart Disease,"Heart problems that arise from long-term high blood pressure, increasing the risk of failure and stroke.","Monitor blood pressure regularly, reduce salt intake, exercise, and manage stress."
Multiple Sclerosis,"A condition where the immune system damages nerve coverings, leading to vision issues, weakness, and coordination problems.","Exercise moderately, avoid smoking, eat a healthy diet, and manage stress levels."
Osteoporosis,"A condition in which bones lose density and become weak, increasing the risk of fractures, especially in older adults.","Maintain a nutrient-rich diet with calcium and vitamin D, engage in weight-bearing exercises, and avoid smoking and excessive alcohol."
Atherosclerosis,A long-term buildup of fatty deposits inside arteries that narrows blood vessels and limits blood flow.,"Eat a balanced diet low in trans fats, exercise regularly, control blood pressure, and reduce stress."
Chronic Obstructive Pulmonary Disease (COPD),"A progressive respiratory disease that causes persistent airflow limitation, leading to chronic coughing and breathlessness.","Avoid smoking, limit exposure to air pollution, wear protective masks in hazardous workplaces, and stay physically active."
Epilepsy,A brain disorder marked by recurring seizures due to abnormal electrical activity in the brain.,"Maintain regular sleep, manage stress, avoid head injuries, and follow healthy lifestyle habits."
Obsessive-Compulsive Disorder (OCD),A mental health condition where individuals experience intrusive thoughts and feel compelled to perform repetitive behaviors.,"Manage stress with relaxation techniques, maintain a structured routine, and seek early evaluation if symptoms appear."
Psoriasis,"A chronic autoimmune skin disorder causing red, scaly patches that may itch or crack.","Keep skin moisturized, avoid triggers such as stress or skin injury, and adopt a balanced lifestyle."
Rubella,"A contagious viral infection that causes a red rash, mild fever, and swollen glands, often mild but dangerous in pregnancy.","Get vaccinated with the MMR vaccine, maintain good hygiene, and avoid contact with infected individuals."
Cirrhosis,"A late-stage liver disease where healthy tissue is replaced with scar tissue, impairing liver function.","Avoid excessive alcohol, maintain a healthy diet, prevent hepatitis infections, and manage weight."
Conjunctivitis (Pink Eye),"An eye condition where the conjunctiva becomes inflamed, leading to redness, itching, and discharge.","Wash hands frequently, avoid touching eyes, don�??t share personal items, and keep surfaces clean."
Liver Disease,"A group of conditions that damage the liver, affecting its ability to filter toxins and aid digestion.","Limit alcohol, eat a balanced diet, maintain healthy weight, and prevent viral hepatitis."
Malaria,"A mosquito-borne infectious disease caused by parasites, leading to fever, chills, and fatigue.","Use mosquito nets, apply insect repellent, eliminate stagnant water, and wear protective clothing."
Spina Bifida,"A birth defect where the spine and spinal cord do not form properly, leading to neurological problems.","Take folic acid supplements before and during pregnancy, attend prenatal checkups, and maintain a healthy maternal diet."
Kidney Disease,"A condition where the kidneys lose their ability to filter waste effectively, leading to fluid and toxin buildup.","Control blood pressure and blood sugar, stay hydrated, eat a balanced diet, and avoid excessive salt intake."
Osteoarthritis,"A degenerative joint disease that wears down cartilage, causing pain, stiffness, and reduced mobility.","Maintain a healthy weight, stay physically active, protect joints from injury, and practice good posture."
Klinefelter Syndrome,"A genetic condition in males caused by an extra X chromosome, often leading to developmental and reproductive challenges.","Early screening, supportive education, and maintaining a healthy lifestyle can reduce complications."
Acne,"A common skin condition where pores become clogged with oil and dead skin, causing pimples and blackheads.","Wash face regularly, avoid excessive oily products, maintain hydration, and manage stress."
Brain Tumor,"An abnormal growth of cells in the brain that may be benign or malignant, affecting brain function.","Limit exposure to harmful radiation, use protective gear when needed, and maintain regular health checkups."
Cystic Fibrosis,"A genetic disorder that causes thick mucus to build up in the lungs and digestive system, affecting breathing and digestion.","Maintain good nutrition, avoid lung infections through hygiene, and stay physically active to support lung health."
Glaucoma,"An eye disease that damages the optic nerve, often linked to increased pressure inside the eye, leading to vision loss.","Get regular eye exams, protect eyes from injury, maintain a healthy lifestyle, and monitor eye health."
Rabies,"A viral disease transmitted through bites or scratches from infected animals, affecting the nervous system and often fatal if untreated.","Vaccinate pets, avoid contact with stray animals, and seek immediate care after an animal bite."
Chickenpox,"Chickenpox is a contagious viral illness that causes an itchy, blister-like rash, fever, and fatigue. It spreads easily through respiratory droplets and direct contact with lesions. Most cases are mild in children but can be more serious in teens, adults, and pregnant people.","Get vaccinated according to schedule, avoid close contact with infected individuals, and practice good hand hygiene. Keep fingernails trimmed to reduce skin damage from scratching and limit exposure in schools or gatherings during outbreaks."
Coronary Artery Disease,"Coronary artery disease occurs when plaque builds up in the arteries that supply the heart, reducing blood flow. It may cause chest discomfort, shortness of breath, or no symptoms until a heart event. Risk rises with age, family history, smoking, high blood pressure, and high cholesterol.","Adopt a heart-healthy diet, stay physically active, maintain a healthy weight, and avoid tobacco. Manage blood pressure, cholesterol, and blood sugar, reduce stress, and prioritize regular checkups and screening."
"Eating Disorders (Anorexia,...)","Eating disorders are serious mental health conditions that affect eating behaviors, body image, and physical health. They can involve restriction, bingeing, purging, or other patterns and occur in people of all genders and sizes. Early support improves outcomes.","Promote positive body image, avoid appearance-based teasing, and encourage balanced eating and coping skills. Seek professional help early for concerning behaviors and build supportive, nonjudgmental environments at home and school."
Fibromyalgia,"Fibromyalgia is a chronic condition marked by widespread pain, fatigue, and sleep or cognitive difficulties. Symptoms can fluctuate and often overlap with other conditions. While the exact cause is unclear, stress and poor sleep can worsen symptoms.","Prioritize consistent sleep routines, gentle physical activity, and stress reduction techniques. Pace activities to avoid overexertion, and maintain supportive social connections and regular follow-up with healthcare providers."
Hemophilia,"Hemophilia is a genetic bleeding disorder where blood doesn�??t clot normally, leading to prolonged bleeding after injuries and sometimes spontaneous internal bleeding. Severity varies based on clotting factor levels.","Use protective gear during activities, avoid high-impact trauma, and inform caregivers, schools, and coaches about bleeding risks. Keep vaccinations up to date and maintain regular specialist care and emergency plans."
Hypoglycemia,"Hypoglycemia means low blood sugar levels, which can cause shakiness, sweating, confusion, or dizziness. It can occur in people with or without diabetes, especially with prolonged fasting or intense exercise.","Eat regular balanced meals and snacks, avoid skipping meals, and match physical activity with adequate fuel. Learn to recognize early symptoms and monitor blood sugar as recommended by a healthcare provider."
Lymphoma,"Lymphoma is a cancer of the lymphatic system, affecting immune cells called lymphocytes. It commonly presents with painless swollen lymph nodes, fever, night sweats, or weight loss. Types and behaviors vary widely.","Reduce exposure to tobacco and unnecessary radiation, practice safe infection prevention, and stay current with age-appropriate vaccinations. Seek evaluation for persistent swollen nodes or systemic symptoms."
